Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
1,BAT-01,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
2,BAT-02,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
3,BAT-03,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
4,BAT-04,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
5,BAT-05,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
6,BAT-06,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
7,BAT-07,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
8,BAT-08,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
9,BAT-09,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
10,BAT-10,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
11,BAT-11,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
12,BAT-12,fixed,MOT-01,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
13,BAT-01,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
14,BAT-02,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
15,BAT-03,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
16,BAT-04,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
17,BAT-05,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,Reduction ratio outside motor compatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
18,BAT-06,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
19,BAT-07,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
20,BAT-08,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
21,BAT-09,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
22,BAT-10,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
23,BAT-11,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
24,BAT-12,fixed,MOT-02,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
