Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
82,BAT-10,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.217562474474384,0,1.20868041374658,1.20868041374658,0.817959477689724,0.759211813195921,0,18422.7272727273
81,BAT-09,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.217867269585791,0,1.21037371992106,1.21037371992106,0.816225884608635,0.75916970737791,0,18368.1818181818
80,BAT-08,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218173967684385,0,1.21207759824658,1.21207759824658,0.814299358681014,0.759127601559899,0,18313.6363636364
70,BAT-10,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21846520441996,0,1.21369558011089,1.21369558011089,0.817826532249426,0.759028971323709,0,18404.5454545455
79,BAT-07,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218482802208094,0,1.21379334560052,1.21379334560052,0.812145812488642,0.759085536233719,0,18259.0909090909
69,BAT-09,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21877052889045,0,1.21539182716917,1.21539182716917,0.81608585997785,0.758987505845563,0,18350
78,BAT-06,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.218794097705311,0,1.21552276502951,1.21552276502951,0.809722619986397,0.759043555856598,0,18204.5454545455
68,BAT-08,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219078371957033,0,1.21710206642796,1.21710206642796,0.81415136754858,0.758946155745637,0,18295.4545454545
77,BAT-05,fixed,MOT-07,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.219107748374004,0,1.21726526874447,1.21726526874447,0.806975872687652,0.759001633359896,0,18150
67,BAT-07,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.21938819555039,0,1.21882330861328,1.21882330861328,0.811988944629917,0.758904815505833,0,18240.9090909091
