Test,Purpose,Inputs,Expected,Actual,Status,Elapsed_s
ConstantSpeedLevel,"Constant-speed wheel power matches hand calculation",See test function,Assertion passes,"19000 kg: actual 20.699 kW, hand 20.699 kW",PASS,0.0789699
StationaryAuxiliary,"Auxiliary load consumes battery energy at zero speed",See test function,Assertion passes,"battery delta 0.258636 kWh",PASS,0.0314941
LevelAcceleration,"Acceleration increases wheel demand",See test function,Assertion passes,"peak 181.2 kW",PASS,0.0375658
PositiveGrade,"Positive grade increases wheel power",See test function,Assertion passes,"grade demand increased",PASS,0.0425788
DownhillRegeneration,"Negative grade produces regenerative DC power",See test function,Assertion passes,"regen 1.85 kWh",PASS,0.0200732
RegenerationPriority,"Regeneration supplies auxiliaries, then the active battery, then the load bank",See test function,Assertion passes,"auxiliary first; 2.228 kWh diverted to resistor bank at full active SOE",PASS,0.0259889
BatterySwitching,"Low active pack deterministically switches to standby pack",See test function,Assertion passes,"battery 2 became active immediately below 30%",PASS,0.315888
StandbyGensetCharge,"Genset charges only the standby battery",See test function,Assertion passes,"B1 supplied auxiliaries while genset charged B2; fuel 1.4915 L",PASS,0.0188427
GensetTractionIsolation,"Genset output never offsets traction-bus demand",See test function,Assertion passes,"active-battery traction power is identical with genset enabled and disabled",PASS,0.0214545
GensetHysteresis,"Genset starts for low standby SOE without chattering",See test function,Assertion passes,"1 deliberate start(s), 0 well-spaced transition(s)",PASS,0.3606533
BatteryUpperLimit,"Battery energy never exceeds upper limit",See test function,Assertion passes,"upper SOE limits respected",PASS,0.0215744
BatteryLowerLimit,"Battery energy never falls below lower limit",See test function,Assertion passes,"lower limit clamped with unmet power",PASS,0.0255388
MotorSaturation,"Motor saturation reports unmet wheel power",See test function,Assertion passes,"unmet 0.713 kWh",PASS,0.0134233
GensetBestEfficiencyPoint,"Genset runs at one constant optimum power",See test function,Assertion passes,"constant at 123.2 kW",PASS,0.2323134
RouteGeolocation,"Every geographic corridor has ordered valid latitude and longitude geometry",See test function,Assertion passes,"17 geographic routes, 20257 coordinate rows",PASS,0.0521915
RouteValidationFailure,"Duplicate route time is rejected",See test function,Assertion passes,"duplicate time rejected",PASS,0.1468771
IncompatibleSelection,"Compatibility filter records rejection reason",See test function,Assertion passes,"voltage mismatch recorded",PASS,8.0863926
EnergyConservation,"Cumulative DC residual remains within tolerance",See test function,Assertion passes,"residual < 1e-9 kWh",PASS,0.2419525
Repeatability,"Identical inputs produce identical scalar KPIs",See test function,Assertion passes,"bitwise-identical cost KPI",PASS,0.4185728
ZeroSpeedStability,"Zero-speed calculation remains finite",See test function,Assertion passes,"all signals finite",PASS,0.0128867
TerminalCostCorrection,"Grid-equivalent terminal correction matches hand calculation",See test function,Assertion passes,"grid correction 69.1757 kWh",PASS,0.2083471
ChargeSustainingComparison,"Terminal combined-SOE tolerance is enforced",See test function,Assertion passes,"deviation 0.208978",PASS,0.1953823
OptimizationRanking,"Feasible configurations are sorted by total cost per kilometre",See test function,Assertion passes,"1 ranked feasible cases",PASS,8.1917242
BEVDualBattery,"BEV uses both equal-SOE batteries in parallel with no fuel or genset",See test function,Assertion passes,"two packs connected; final SOE 0.685 / 0.685",PASS,0.1112154
BEVSingleBattery,"One-battery BEV electrically isolates Battery 2",See test function,Assertion passes,"Battery 1 supplied the mission; Battery 2 remained disconnected",PASS,0.0620198
HybridDoubleBatterySet,"Two Hybrid sets scale both role banks equally",See test function,Assertion passes,"two-pack active and standby banks; energy and power doubled",PASS,0.0255303
BEVThreeBatterySet,"A 1.5-set BEV connects three packs with deterministic bank allocation",See test function,Assertion passes,"Battery 1 x2 plus Battery 2 x1 connected in parallel",PASS,0.0830416
BatterySetValidation,"Hybrid and BEV multipliers enforce their permitted increments",See test function,Assertion passes,"Hybrid fractional and BEV quarter-set inputs rejected",PASS,0.0125502
BEVRegeneration,"BEV regeneration follows auxiliary, batteries, resistor priority",See test function,Assertion passes,"auxiliary > parallel packs > resistor allocation conserved",PASS,0.016425
