Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
144,BAT-12,fixed,MOT-12,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.312957366691727,0,1.73865203717626,1.73865203717626,0.517956812240329,0.75,0,19000
143,BAT-11,fixed,MOT-12,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.31495057834057,0,1.74972543522539,1.74972543522539,0.499929760213227,0.75,0,19000
132,BAT-12,fixed,MOT-11,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.316350809010642,0,1.75750449450357,1.75750449450357,0.514356419583137,0.75,0,19000
142,BAT-10,fixed,MOT-12,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.317032465123007,0,1.7612914729056,1.7612914729056,0.479996511661964,0.75,0,19000
131,BAT-11,fixed,MOT-11,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.318339786430716,0,1.76855436905953,1.76855436905953,0.496162626667844,0.75,0,19000
141,BAT-09,fixed,MOT-12,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.319283962123589,0,1.7737997895755,1.7737997895755,0.457756658677706,0.75,0.000924273479543305,19000
120,BAT-12,fixed,MOT-10,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.319765916582672,0,1.77647731434818,1.77647731434818,0.510733040409335,0.75,0,19000
130,BAT-10,fixed,MOT-11,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.320416426728456,0,1.78009125960253,1.78009125960253,0.476047144527175,0.75,0,19000
119,BAT-11,fixed,MOT-10,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.321750729562937,0,1.78750405312743,1.78750405312743,0.4923713344388,0.75,0,19000
108,BAT-12,fixed,MOT-09,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.323203051021361,0,1.79557250567423,1.79557250567423,0.507086291052241,0.75,0,19000
