ComponentID,Name,Manufacturer,EngineRatedPower_kW,GeneratorRatedPower_kW,MinStablePower_kW,OptimumPower_kW,MaxPower_kW,IdleFuel_Lph,StartFuel_L,FuelDensity_kg_L,WarmupTime_s,MinOnTime_s,MinOffTime_s,RampRate_kW_s,StartStopEnable,Mass_kg,FuelType,Notes
GEN-01,Engine Genset 01,Concept Manufacturer,120,110,25,85,110,1.5,0.04,0.835,20,60,45,35,1,700,Diesel,Synthetic engineering concept data
GEN-02,Engine Genset 02,Concept Manufacturer,132.727272727273,122.727272727273,26.8181818181818,94.5454545454545,122.727272727273,1.6,0.0436363636363636,0.835,22.2727272727273,63.6363636363636,47.7272727272727,37.7272727272727,1,740.909090909091,Diesel,Synthetic engineering concept data
GEN-03,Engine Genset 03,Concept Manufacturer,145.454545454545,135.454545454545,28.6363636363636,104.090909090909,135.454545454545,1.7,0.0472727272727273,0.835,24.5454545454545,67.2727272727273,50.4545454545455,40.4545454545455,1,781.818181818182,Diesel,Synthetic engineering concept data
GEN-04,Engine Genset 04,Concept Manufacturer,158.181818181818,148.181818181818,30.4545454545455,113.636363636364,148.181818181818,1.8,0.0509090909090909,0.835,26.8181818181818,70.9090909090909,53.1818181818182,43.1818181818182,1,822.727272727273,Diesel,Synthetic engineering concept data
GEN-05,Engine Genset 05,Concept Manufacturer,170.909090909091,160.909090909091,32.2727272727273,123.181818181818,160.909090909091,1.9,0.0545454545454545,0.835,29.0909090909091,74.5454545454545,55.9090909090909,45.9090909090909,1,863.636363636364,Diesel,Synthetic engineering concept data
GEN-06,Engine Genset 06,Concept Manufacturer,183.636363636364,173.636363636364,34.0909090909091,132.727272727273,173.636363636364,2,0.0581818181818182,0.835,31.3636363636364,78.1818181818182,58.6363636363636,48.6363636363636,1,904.545454545455,Diesel,Synthetic engineering concept data
GEN-07,Engine Genset 07,Concept Manufacturer,196.363636363636,186.363636363636,35.9090909090909,142.272727272727,186.363636363636,2.1,0.0618181818181818,0.835,33.6363636363636,81.8181818181818,61.3636363636364,51.3636363636364,1,945.454545454545,Diesel,Synthetic engineering concept data
GEN-08,Engine Genset 08,Concept Manufacturer,209.090909090909,199.090909090909,37.7272727272727,151.818181818182,199.090909090909,2.2,0.0654545454545455,0.835,35.9090909090909,85.4545454545455,64.0909090909091,54.0909090909091,1,986.363636363636,Diesel,Synthetic engineering concept data
GEN-09,Engine Genset 09,Concept Manufacturer,221.818181818182,211.818181818182,39.5454545454545,161.363636363636,211.818181818182,2.3,0.0690909090909091,0.835,38.1818181818182,89.0909090909091,66.8181818181818,56.8181818181818,1,1027.27272727273,Diesel,Synthetic engineering concept data
GEN-10,Engine Genset 10,Concept Manufacturer,234.545454545455,224.545454545455,41.3636363636364,170.909090909091,224.545454545455,2.4,0.0727272727272727,0.835,40.4545454545455,92.7272727272727,69.5454545454545,59.5454545454545,1,1068.18181818182,Diesel,Synthetic engineering concept data
GEN-11,Engine Genset 11,Concept Manufacturer,247.272727272727,237.272727272727,43.1818181818182,180.454545454545,237.272727272727,2.5,0.0763636363636364,0.835,42.7272727272727,96.3636363636364,72.2727272727273,62.2727272727273,1,1109.09090909091,Diesel,Synthetic engineering concept data
GEN-12,Engine Genset 12,Concept Manufacturer,260,250,45,190,250,2.6,0.08,0.835,45,100,75,65,1,1150,Diesel,Synthetic engineering concept data
